,name,Age,Dribbling / Reflexes,Passing / Kicking,Shooting / Handling,International reputation,Total mentality,Shot power,Total power,Ball control,Finishing,Log Market Value
0,M. Fellaini ST CAM CDM,35,68,69,71,3,374,76,386,77,71,14.077874822431765
1,M. van de Ven CB,22,69,60,43,1,290,48,344,73,37,17.312018119430753
2,Richarlison ST LW,26,82,72,79,3,362,83,396,82,81,17.14771506813948
3,R. Drăgușin CB,21,58,47,37,1,249,56,321,59,27,15.27412558066379
4,C. Uzun CF CAM ST,17,72,62,65,1,245,66,306,72,66,14.77102200299171
5,J. Branthwaite CB,21,55,49,34,1,236,51,307,64,30,16.300417207752275
6,L. Bergvall CM,17,69,65,52,1,292,51,281,70,53,14.28551418721001
7,K. Mainoo CDM CM,18,69,62,55,1,305,64,324,64,55,14.808762330974558
8,J. Bellingham CAM CM,20,86,81,82,4,404,79,407,86,86,18.59042351853946
9,Bryan Zaragoza RM LM,21,79,68,72,1,272,78,296,78,72,15.761420707019587
10,D. Udogie LB,20,78,72,64,1,343,71,371,78,64,17.312018119430753
11,Vitor Roque ST RW LW,18,80,59,78,1,255,80,377,77,79,16.67771143889374
12,K. Havertz CAM CM ST,24,83,79,79,3,327,76,382,85,81,17.64415195445337
13,D. Suárez RB RWB RM,35,73,72,70,1,358,83,378,74,64,14.978661367769956
14,J. Bellingham CM CAM ST,17,69,62,56,1,296,57,315,70,56,14.557447902693651
15,S. Azmoun ST CAM,28,77,71,75,2,318,77,379,80,75,16.489659207390805
16,W. Zaïre-Emery CM CDM,17,78,75,67,1,367,75,381,80,65,17.399029496420383
17,T. Kubo RW ST RM,22,83,76,76,3,289,73,349,84,81,17.541203985200926
18,J. Hato CB LB,17,71,66,39,1,294,53,304,74,36,15.687312734865866
19,S. Boey RB,22,77,66,55,1,341,70,400,76,44,17.16541464523888
20,R. Lewis RB CDM,18,77,73,46,1,323,55,278,80,44,16.34123920227253
21,M. Taremi ST CF,30,81,76,81,2,323,81,395,85,84,17.216707939626428
22,G. Vicario GK,26,87,79,81,2,145,59,227,44,6,17.565014633894645
23,C. Bradley RB RWB,19,66,60,50,1,304,50,304,65,53,14.978661367769956
24,A. Güler CAM CM,18,81,80,70,1,316,72,308,81,68,16.90655301132259
25,Vinícius ST,28,72,61,76,2,335,83,383,76,77,15.60727002719233
26,R. Højlund ST,20,74,58,76,1,322,82,403,75,78,17.054189010128656
27,António Silva CB,19,69,62,33,2,287,51,317,73,28,17.16541464523888
28,J. Zirkzee ST,22,80,66,77,1,284,76,378,82,78,16.34123920227253
29,T. Almada CAM CM CF,22,84,75,74,3,354,75,337,84,72,17.676240269004868
30,Arnau Martínez RB CB RWB,20,76,72,50,1,321,56,327,78,50,17.23323724157764
31,João Neves CM,18,75,71,59,1,336,71,288,77,53,15.761420707019587
32,Fresneda RWB RB,18,74,60,41,2,279,43,295,77,43,15.424948470398375
33,T. Baldanzi CAM CF,20,81,74,72,1,302,77,311,80,69,16.951004773893423
34,V. Barco LM LB LWB,18,77,73,47,1,347,44,273,75,42,15.761420707019587
35,M. Tel ST LM RM,18,77,64,77,1,277,84,354,77,78,16.11809565095832
36,X. Simons CAM LW RW,20,85,78,77,2,361,78,380,85,78,17.91815392300107
37,A. Vermeeren CDM CM,18,76,75,54,1,336,64,345,78,48,16.523560759066484
38,Alejandro Garnacho LW LM,19,77,67,71,1,304,77,322,74,72,16.41820024340866
39,S. Pafundi CAM CF,17,73,66,65,1,311,73,286,71,61,14.73180128983843
40,J. Álvarez ST CF CAM,23,84,78,83,2,366,86,402,85,83,17.529082624668582
41,V. Boniface ST,22,79,64,80,1,336,86,412,81,79,17.341871082580436
42,M. Greenwood RM ST LM,21,79,74,79,1,303,85,360,80,79,16.972510979114386
43,C. Alcaraz CAM CM ST,20,78,67,70,1,323,75,354,75,70,15.687312734865866
44,Gabri Veiga CM CAM,21,78,72,77,2,339,77,362,82,80,17.26549810379586
45,A. Jahanbakhsh RW,29,74,69,75,1,331,83,397,74,69,14.914122846632385
46,K. Kvaratskhelia LW RW,22,87,81,79,2,337,78,388,88,81,18.50685844019342
47,Lee Kang In LW ST CM,22,82,80,74,2,353,78,350,82,75,17.16541464523888
48,R. Bardghji RW,17,74,62,68,1,280,70,298,71,70,15.096444403426338
49,Y. Chermiti ST,19,68,55,69,1,280,71,344,70,73,15.226497531674536
50,Palhinha CDM CM,27,76,72,68,2,376,81,409,81,66,17.576710673657836
51,E. Haaland ST,22,80,66,93,5,386,94,442,82,96,19.0358663830426
52,F. Wirtz CAM,20,87,84,76,3,337,75,346,89,79,18.430631074805532
53,Pedro Porro RB RWB,23,81,80,73,2,379,83,400,83,68,17.466168799258014
54,D. Undav ST CAM,26,75,72,79,1,320,79,380,78,81,16.25785759333348
55,D. Núñez ST LW,24,78,72,81,3,367,85,427,77,81,17.654962870557586
56,Sávio LM CF LW,19,80,74,70,1,283,67,311,79,75,17.23323724157764
57,H. Son LW ST,30,85,81,88,4,347,88,407,83,90,18.159315979817958
58,Kim Min Jae CB,26,64,57,33,2,304,51,337,68,23,17.64415195445337
60,M. Fellaini ST CAM CDM,35,68,69,71,3,374,76,386,77,71,14.077874822431765
61,M. van de Ven CB,22,69,60,43,1,290,48,344,73,37,17.312018119430753
62,Richarlison ST LW,26,82,72,79,3,362,83,396,82,81,17.14771506813948
63,R. Drăgușin CB,21,58,47,37,1,249,56,321,59,27,15.27412558066379
64,C. Uzun CF CAM ST,17,72,62,65,1,245,66,306,72,66,14.77102200299171
65,J. Branthwaite CB,21,55,49,34,1,236,51,307,64,30,16.300417207752275
66,L. Bergvall CM,17,69,65,52,1,292,51,281,70,53,14.28551418721001
67,K. Mainoo CDM CM,18,69,62,55,1,305,64,324,64,55,14.808762330974558
68,J. Bellingham CAM CM,20,86,81,82,4,404,79,407,86,86,18.59042351853946
69,Bryan Zaragoza RM LM,21,79,68,72,1,272,78,296,78,72,15.761420707019587
70,D. Udogie LB,20,78,72,64,1,343,71,371,78,64,17.312018119430753
71,Vitor Roque ST RW LW,18,80,59,78,1,255,80,377,77,79,16.67771143889374
72,K. Havertz CAM CM ST,24,83,79,79,3,327,76,382,85,81,17.64415195445337
73,S. Azmoun ST CAM,28,77,71,75,2,318,77,379,80,75,16.489659207390805
74,D. Suárez RB RWB RM,35,73,72,70,1,358,83,378,74,64,14.978661367769956
75,J. Bellingham CM CAM ST,17,69,62,56,1,296,57,315,70,56,14.557447902693651
76,W. Zaïre-Emery CM CDM,17,78,75,67,1,367,75,381,80,65,17.399029496420383
